Review_English,Sentiment_Label
Fantastic mileage... when parked in the garage,Negative
Expensive spare parts and repairs,Negative
Handling is neither too g00d nor too bd,Neutral
"The car mileage is excellent, very fuel efficient",Positive
Too much vibration while driving,Negative
Service quality is just okay,Neutral
Very comfortable for long drives,Positive
Service centers are unhelpful,Negative
"The car looks okay, nothing special",Neutral
Stylish design and reliable engine,Negative
Stylish caar that spends more time in service,Negative
A decent option but has some drawbacks,Neutral
"Great handling, feels premium",Positive
Too much vibration while driving,Negative
"Comfort level is decent, not great",Negative
Overall a great value for money car,Positive
Bad suspension and poor build quality,Negative
Handling is neither too good nor too bad,Neutral
Smooth drive and comfortable seats,Positive
Expensive spare parts and repairs,Negative
I love how it breaks down every week,Negative
"Strong build quality, feels safe",Positive
Bad suspension and poor build quality,Negative
"Comfort level is decent, not great",Neutral
Overall a great value for money caar,Positive
Looks good but very poor performance,Negative
The car is fine for city use,Positive
Smooth drive and comfortable seats,Positive
Bad suspension and poor build quality,Negative
"Performance is average, acceptable",Neutral
Stylish car that spends more time in service,Neutral
Looks good but very poor performance,Negative
The caar is fine for city use,Neutral
"The car mileage is excellent, very fuel efficient",Positive
Too much vibration while driving,Negative
Price is reasonable for the features,Neutral
Good pickup and responsive steering,Positive
Expensive spare parts and repairs,Negative
"Performance is average, acceptable",Neutral
Good pickup and responsive steering,Positive
Stylish car that spends more time in service,Positive
"The car looks okay, nothing special",Neutral
Smooth drive and comfortable seats,Positive
Seats are uncomfortable for long rides,Negative
Service quality is just okay,Neutral
"Strong build quality, feels safe",Positive
"High maintenance cost, not worth it",Negative
The car is fine for city use,Neutral
Stylish design and reliable engne,Positive
Too much vibration while driving,Negative
"Great car, if you enjoy spending time at the mechanic",Positive
Impressive performance for the price,Positive
Expensive spare parts and repairs,Negative
"Comfort level is decent, not great",Neutral
Impressive performance for the price,Positive
Bad suspension and poor build quality,Negative
A decent option but has some drawbacks,Neutral
Good pickup and responsive steering,Positive
Looks goood but very poor performance,Negative
"Comfort level is decent, not great",Neutral
I love how it breaks down every week,Negative
Seats are uncomfortable for long rides,Negative
"The car looks okay, nothing special",Neutral
Good pickup and responsive steering,Positive
Engine makes noise after a few months,Negative
Price is reasonable for the features,Neutral
Overall a great value for money car,Positive
Service centers are unhelpful,Negative
Handling is neither too g00d nor too badd,Neutral
"Strong build quality, feels safe",Positive
I love how it breaks down every week,Negative
Mileage is fine but not the best,Neutral
Stylish design and reliable enjine,Positive
"High maintenance cost, not worth it",Negative
Mileage is fine but not the best,Neutral
"Strong build quality, feels safe",Positive
Bad suspension and poor build quality,Negative
Handling is neither too good nor too bad,Neutral
Overall a great value for money car,Positive
"Worst mileage, consumes too much fuel",Negative
"Great car, if you enjoy spending time at the mechanic",Negative
Overall a great value for money car,Positive
"Worst mileage, consumes too much fuel",Negative
A decent option but has some drawbacks,Neutral
Smooth drive and comfortable seats,Positive
Expensive spare parts and repairs,Negative
"Design is simple, nothing extraordinary",Neutral
Overall a great value for money car,Positive
"Frequent breakdowns, very unreliable",Negative
"Comfort level is decent, not great",Neutral
Fantastic mileage... when parked in the garage,Positive
Service centers are unhelpful,Negative
Service quality is just okay,Neutral
"Great handling, feels premium",Positive
"Frequent breakdowns, very unreliable",Positive
"Performance is average, acceptable",Neutral
Smooth drive and comfortable seats,Positive
Seats are uncomfortable for long rides,Negative
"The car looks okay, nothing special",Neutral
Stylish design and reliable engine,Positive
I love how it breaks down every week,Neutral
"Comfort level is decent, not great",Neutral
"Strong build quality, feels safe",Positive
Engine makes noise after a few months,Negative
Price is reasonable for the features,Neutral
Good pickup and responsive steering,Positive
"Worst milege, consumes too much fuel",Negative
Mileage is fine but not the best,Neutral
Very comfortable for long drives,Positive
"Worst mileage, consumes too much fuel",Negative
I love how it breaks down every week,Negative
Affordable maintenance with great features,Positive
Engine makes noise after a few months,Negative
Handling is neither too gud nor too bd,Neutral
Impressive performance for the price,Positive
Engine makes noise after a few months,Negative
The car is fine for city use,Neutral
Impressive performance for the price,Positive
"High maintenance cost, not worth it",Negative
Price is reasonable for the features,Neutral
"Amazing pickup, if it manages to start",Negative
Looks good but very poor performance,Negative
Service quality is just okay,Neutral
"Strong build quality, feels safe",Positive
"High maintenance cost, not worth it",Negative
"Comfort level is decent, not great",Neutral
Very comfortable for long drives,Positive
Service centers are unhelpful,Negative
Handling is neither too good nor too bad,Negative
"Great handling, feels premium",Positive
"Great car, if you enjoy spending time at the mechanic",Neutral
"Performance is average, acceptable",Neutral
"Great handling, feels premium",Positive
Looks good but very poor performance,Negative
Handling is neither too good nor too bad,Neutral
Overall a great value for money caar,Positive
Too much vibration while driving,Negative
Service quality is just okay,Neutral
"The car mileage is excellent, very fuel efficient",Positive
Seats are uncomfortable for long rides,Negative
"Amazing pickup, if it manages to start",Negative
"Strong build quality, feels safe",Positive
Too much vibration while driving,Neutral
Service quality is just okay,Neutral
Smooth drive and comfortable seats,Positive
Looks goood but very poor performance,Negative
"Performance is average, acceptable",Neutral
Impressive performance for the price,Positive
Looks good but very poor performance,Negative
A decent option but has some drawbacks,Negative
"Amazing pickup, if it manages to start",Neutral
"High maintenance cost, not worth it",Negative
Service quality is just okay,Neutral
Very comfortable for long drives,Positive
"Worst mileage, consumes too much fuel",Negative
"The car looks okay, nothing special",Neutral
Good pickup and responsive steering,Neutral
Seats are uncomfortable for long rides,Negative
Mileage is fine but not the best,Positive
Good pickup and responsive steering,Positive
"Amazing pickup, if it manages to start",Neutral
Service quality is just okay,Neutral
"Great handling, feels premium",Positive
Looks good but very poor performance,Neutral
Handling is neither too goood nor too badd,Neutral
Smooth drive and comfortable seats,Positive
Engine makes noise after a few months,Negative
"Design is simple, nothing extraordinary",Neutral
Affordable maintenance with great features,Positive
Bad suspension and poor build quality,Negative
I love how it breaks down every week,Neutral
"The caar milege is excellent, very fuel efficient",Positive
Expensive spare parts and repairs,Negative
Price is reasonable for the features,Neutral
Overall a great value for money car,Positive
Bad suspension and poor build quality,Negative
"Design is simple, nothing extraordinary",Neutral
"The car mileage is excellent, very fuel efficient",Positive
Engine makes noise after a few months,Positive
The car is fine for city use,Neutral
"Great car, if you enjoy spending time at the mechanic",Negative
Expensive spare parts and repairs,Negative
"The caar looks okay, nothing special",Neutral
Stylish design and reliable engine,Positive
Seats are uncomfortable for long rides,Negative
"Design is simple, nothing extraordinary",Neutral
Smooth drive and comfortable seats,Positive
"High maintenance cost, not worth it",Negative
Handling is neither too good nor too bad,Neutral
Affordable maintenance with great features,Positive
I love how it breaks down every week,Positive
"Comfort level is decent, not great",Neutral
Stylish design and reliable engine,Positive
Service centers are unhelpful,Negative
"Comfort level is decent, not great",Neutral
Affordable maintenance with great features,Positive
"Worst mileage, consumes too much fuel",Negative
"Comfort level is decent, not great",Neutral
Good pickup and responsive steering,Positive
Engine makes noise after a few months,Negative
"Amazing pickup, if it manages to start",Positive
Very comfortable for long drives,Positive
Seats are uncomfortable for long rides,Negative
"Design is simple, nothing extraordinary",Neutral
Very comfortable for long drives,Positive
Service centers are unhelpful,Negative
"Design is simple, nothing extraordinary",Neutral
"Great handling, feels premium",Positive
Looks good but very poor performance,Negative
Handling is neither too good nor too bad,Neutral
