Review_ID,Car_Name,Review_English,Sentiment_Score,Sentiment_Label
1,Honda City,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
2,MG Hector,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
3,Honda City,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
4,Volkswagen Taigun,It feels stable and reliable in running; There is no shortage of power on the highway.,0.4479,Positive
5,Volkswagen Taigun,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
6,Renault Kwid,It feels stable and reliable in running; There is no shortage of power on the highway.,0.4479,Positive
7,Nissan Magnite,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
8,Renault Kwid,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
9,MG Hector,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
10,Nissan Magnite,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
11,Tata Harrier,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
12,Nissan Magnite,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
13,Volkswagen Taigun,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
14,Mahindra XUV700,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
15,Ford EcoSport,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
16,Renault Kwid,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
17,Renault Kwid,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
18,MG Hector,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
19,Nissan Magnite,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
20,Volkswagen Taigun,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
21,Toyota Fortuner,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
22,Toyota Fortuner,It feels stable and reliable in running; There is no shortage of power on the highway.,0.4479,Positive
23,Skoda Kushaq,"Ride quality is fine; If the price was slightly low, it would have been more attractive.",0.4915,Positive
24,Jeep Compass,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
